Year,Title,Source,Link,Output,Task,Query,Structured,Cost,Model,Learning,Start,Stop,Others
2022,Bigger Data or Fairer Data? Augmenting BERT via Active Sampling for Educational Text Classification,ACL,https://aclanthology.org/2022.coling-1.109,Classification,Others,"Uncertainty,Disagreement,Performance_prediction",-,-,-,-,-,-,-
2022,AcTune: Uncertainty-aware Active Self-Training for Semi-Supervised Active Learning with Pretrained Language Models,ACL,https://aclanthology.org/2022.naacl-main.102,Classification,Classification,Uncertainty,-,-,-,Semi_supervised,-,-,-
2022,Towards Computationally Feasible Deep Active Learning,ACL,https://aclanthology.org/2022.findings-naacl.90,"Classification,Sequence_labeling","Classification,NER",Uncertainty,-,Wait_time,Model_mismatch,-,-,-,-
2022,ALLSH: Active Learning Guided by Local Sensitivity and Hardness,ACL,https://aclanthology.org/2022.findings-naacl.99,Classification,Classification,Uncertainty,-,-,-,Semi_supervised,-,-,-
2022,Make The Most of Prior Data: A Solution for Interactive Text Summarization with Preference Feedback,ACL,https://aclanthology.org/2022.findings-naacl.147,Generation,Others,Others(special),-,-,-,-,-,-,-
2022,CrudeOilNews: An Annotated Crude Oil News Corpus for Event Extraction,ACL,https://aclanthology.org/2022.lrec-1.49,Complex_structured_prediction,Event,Uncertainty,-,-,-,-,-,-,-
2022,Investigating Active Learning Sampling Strategies for Extreme Multi Label Text Classification,ACL,https://aclanthology.org/2022.lrec-1.490,Classification,Classification,"Uncertainty,Batch_diversity",-,-,-,-,-,-,-
2022,FAMIE: A Fast Active Learning Framework for Multilingual Information Extraction,ACL,https://aclanthology.org/2022.naacl-demo.14,Sequence_labeling,"NER,Event","Uncertainty,Diversity",-,Wait_time,Model_mismatch,-,-,-,"Multiple_targets,Tools"
2022,Teaching Interactively to Learn Emotions in Natural Language,ACL,https://aclanthology.org/2022.hcinlp-1.6,Classification,Others,Uncertainty,-,-,-,-,-,-,-
2022,Is More Data Better? Re-thinking the Importance of Efficiency in Abusive Language Detection with Transformers-Based Active Learning,ACL,https://aclanthology.org/2022.trac-1.7,Classification,Social,Uncertainty,-,-,-,-,-,-,Data_imbalance
2022,Adapting Coreference Resolution Models through Active Learning,ACL,https://aclanthology.org/2022.acl-long.519,Complex_structured_prediction,Coreference,Uncertainty,Partial,Measurement,-,Transfer_learning,-,-,-
2022,Prompt-Based Rule Discovery and Boosting for Interactive Weakly-Supervised Learning,ACL,https://aclanthology.org/2022.acl-long.55,Complex_structured_prediction,"Classification,Relation",Others(special),-,-,-,Weak_supervision,-,-,-
2022,A Comparison of Strategies for Source-Free Domain Adaptation,ACL,https://aclanthology.org/2022.acl-long.572,"Classification,Sequence_labeling","Classification,Others",Uncertainty,-,-,-,Transfer_learning,-,-,-
2022,Active Evaluation: Efficient NLG Evaluation with Few Pairwise Comparisons,ACL,https://aclanthology.org/2022.acl-long.600,Classification,Others,"Uncertainty,Disagreement",-,-,-,-,-,-,Beyond_target_labeling
